한국전자금융,2155,155,132,2218,1053,1165,6.13,163,92,12.96,6.47,511,12.02,4156,1.48,4,2016
한네트,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4,2012
한네트,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4,2013
한네트,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4,2014
한네트,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4,2015
한네트,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4,2016
디앤씨미디어,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3,2012
디앤씨미디어,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3,2013
디앤씨미디어,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3,2014
디앤씨미디어,144,26,21,62,25,37,14.78,0,19,null,null,254,null,438,0,3,2015
디앤씨미디어,189,37,30,96,29,68,15.94,null,26,57.8,38.05,360,null,791,0,3,2016
미스터블루,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3,2012
미스터블루,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3,2013
미스터블루,137,35,30,102,18,84,21.62,0,27,null,null,131,null,371,null,3,2014
미스터블루,171,37,-61,300,86,214,-35.44,69,-34,-40.64,-30.14,-267,-15.97,944,4.52,3,2015
미스터블루,234,45,38,340,76,264,16.31,5,14,15.92,11.89,164,23.53,1101,3.51,3,2016
아시아경제,308,33,-202,203,259,-56,-65.58,3,31,442.95,-90.75,-44014,null,-2403,0,3,2012
아시아경제,311,38,17,338,114,224,5.42,2,26,20.01,6.21,113,null,1123,0,3,2013
아시아경제,327,58,43,379,105,273,13.25,1,28,17.38,12.07,216,null,1368,0,3,2014
아시아경제,345,57,42,565,67,498,12.3,2,51,10.99,8.99,190,15.99,1974,1.54,3,2015
아시아경제,340,58,34,584,53,530,10.07,2,26,6.65,5.96,136,30.4,2101,1.96,3,2016
스포츠서울,246,-72,-269,212,176,36,-109.65,1,-88,-221.13,-91.38,-7106,-0.46,881,3.72,3,2012
스포츠서울,52,1,4,193,116,76,7.26,0,3,6.72,1.87,85,34.17,1526,1.91,3,2013
스포츠서울,161,-52,-121,143,110,33,-75.56,0,-45,-221.4,-72.28,-1858,-1.23,350,6.54,3,2014
스포츠서울,155,-44,-43,247,125,122,-27.58,0,-26,-55.01,-21.89,-387,-7.47,826,3.5,3,2015
스포츠서울,161,11,-5,288,108,181,-3.4,4,-18,-3.61,-2.04,-33,-76.3,1024,2.47,3,2016
디앤씨미디어,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4,2012
디앤씨미디어,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4,2013
디앤씨미디어,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4,2014
디앤씨미디어,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4,2015
디앤씨미디어,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4,2016
미스터블루,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4,2012
미스터블루,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4,2013
미스터블루,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4,2014
미스터블루,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4,2015
미스터블루,240,47,40,345,79,266,16.65,5,14,null,null,169,22.87,1105,3.49,4,2016
아시아경제,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4,2012
아시아경제,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4,2013
아시아경제,754,91,71,586,194,392,9.4,27,13,null,null,300,null,1460,0,4,2014
아시아경제,580,102,60,838,207,631,10.29,6,74,12.44,8.38,228,13.34,2081,1.46,4,2015
아시아경제,603,98,68,992,152,841,11.33,4,111,9.34,7.47,208,19.82,2372,1.74,4,2016
스포츠서울,246,-73,-259,197,176,21,-105.6,1,-90,-255.37,-85.24,-6843,-0.48,503,6.52,4,2012
스포츠서울,52,1,0,173,116,57,-0.24,0,3,-0.32,-0.07,-3,-1028.19,1138,2.56,4,2013
스포츠서울,161,-53,-106,140,110,30,-65.74,0,-66,-243.7,-67.41,-1616,-1.42,312,7.34,4,2014
